description,amount,label,balance,date
fusion interest rebate,22.85,Interest Received,15737.35,2023-10-10 00:00:00
rtc express pmt to battlezone party lance 3 sep,-650.0,Entertainment,44479.06,2023-08-31 00:00:00
pos purchase (effec ) djs biltong (pty) ltd norke card no.,-90.0,Fast Food & Takeouts,38 624.93,2023-10-27T00:00:00
pos purchase [garage] [location] [date],-377.17,Fuel,59485.18,2023-10-10 00:00:00
pos purchase [grocers] online  [date],-1531.85,Groceries,72873.35,2023-08-25 00:00:00
pos purchase [garage] nkandla  [date],-27.85,General Purchases,74154.54,2023-10-07 00:00:00
banking app payment,-200.0,Bank Transfer,111.86,2021-09-28T00:00:00
eft debit order payment (): cartrack,-199.0,Transport,2 887.60,2021-10-25T00:00:00
magtape debit mtn sp,-1797.99,Cellular Data Purchase,6809.59,2023-08-31 00:00:00
payment to investment s,-66000.0,Investments,11804.32,2023-10-25 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,127.96,2021-10-13T00:00:00
#service fees #int pymt fee-639.99 appl,-12.8,Bank Charges and Fees,-54832.62,2023-09-20 00:00:00
pos purchase [garage] shelly conv c  [date],-79.0,General Purchases,6622.69,2023-08-31 00:00:00
card purchase insufficient funds fee capitec,-0.4,Insufficient Funds Fee,-49.52,2021-10-20T00:00:00
pos purchase sandton city parkin  [date],-15.0,Parking,-52809.75,2023-08-28 00:00:00
dr interest rebate,73.46,Interest Received,5414.52,2023-09-21 00:00:00
pos purchase [restaurant] [date],-260.1,Eating Out,15678.73,2023-10-31 00:00:00
immediate payment fee,-7.5,Bank Charges and Fees,6 005.20,2021-07-28T00:00:00
pos purchase 14.99 apple.com/bil  [date],-14.99,Subscriptions,-56110.96,2023-09-20 00:00:00
debit interest,-5.91,Interest Repayment,20 514.24,2023-10-01T00:00:00
magtape debit virgin netcash,-487.5,Personal Care,74414.86,2023-10-02 00:00:00
pos purchase [restaurant] [location] [date],-75.0,Eating Out,-38752.77,2023-11-06 00:00:00
pos purchase [grocers] ballito ju  [date],-1761.94,Groceries,58520.2,2023-10-17 00:00:00
pos purchase [grocers] fam craighall p  [date],-215.08,Groceries,-52225.75,2023-08-26 00:00:00
#monthly account fee,-287.5,Bank Charges and Fees,3221.98,2023-11-15 00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-55.38,Groceries,11 178.70,2023-09-22T00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-315.23,Groceries,20 579.15,2023-09-30T00:00:00
pos purchase [grocers]  [date],-1117.43,Groceries,64058.87,2023-10-14 00:00:00
magtape debit cap athomeder00006,-786.0,Debit Order,-27344.81,2023-11-01 00:00:00
interest received,1.2,Interest Received,623.93,2021-07-31T00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,1.48,2021-10-10T00:00:00
magtape unpaid not provided for,870.38,Debit Order,-59511.24,2023-09-01 00:00:00
international processing recurring card purchase fee: apple.com/bill,-1.0,Bank Charges and Fees,4 560.64,2021-08-29T00:00:00
recurring card purchase: netflix.com amsterdam (card ),-139.0,Subscriptions,1 084.13,2021-10-23T00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,-59.32,2021-10-21T00:00:00
pos purchase servest hyde park  [date],-10.0,Parking,12525.06,2023-10-25 00:00:00
pos purchase [restaurant] [location] [date],-48.8,Eating Out,9496.83,2023-08-29 00:00:00
pos purchase [restaurant] [date],-380.0,Eating Out,22638.31,2023-10-16 00:00:00
pos purchase [restaurant]  [date],-350.0,Eating Out,-53336.57,2023-11-20 00:00:00
